data inicio,data termino,nome do evento,Tipo,Estado que ocorrerá,Impacto para a aviação,Dia da semana que iniciará,Dias restantes para o evento,Se terá possível emenda
2025-08-27,2025-08-29,IX Congresso de Direito Marítimo e Portuário ABDM,Evento Corporativo,"Sheraton Hotel - Santos, SP",Baixo,Wednesday,26,Não
2025-08-01,2025-08-03,Congresso Nacional de Muay Thai - São Paulo,Evento Corporativo,"CORNERMAN FIGHTING CENTER - São Paulo, SP",Baixo,Friday,0,Não
2025-10-17,2025-10-18,NEEX: A Nova Era da Nutrição Esportiva,Evento Corporativo,"Expo Center Norte - São Paulo, SP",Baixo,Friday,77,Não
2025-01-31,2025-02-01,MBA FASHION DAY 2026,Evento Corporativo,"R. Manuel da Nóbrega, 1361 - São Paulo, SP",Baixo,Friday,-182,Não
2025-08-14,2025-08-16,4º Congresso Brasileiro da Sociedade Brasileira de Auditoria Médica - SBAM,Evento Corporativo,"Itapuã - Salvador, BA",Baixo,Thursday,13,Sim
2025-09-06,2025-09-06,Workshop Presencial Neurobiologia do autismo -Restinga Sêca -RS,Evento Corporativo,"Hotel Recanto Business Center - Restinga Sêca, RS",Baixo,Saturday,36,Não
2025-08-05,2025-08-05,IMPACTO DA REFORMA TRIBUTÁRIA NAS EMPRESAS,Evento Corporativo,"Av. Hermes da Fonseca, 1542 - Natal, RN",Baixo,Tuesday,4,Sim
2025-08-18,2025-08-18,EcoaTea - Dr. Thiago Castro em Rio Grande (18/08 - Profissionais da saúde e educação),Evento Corporativo,"R. Jockey Clube, 155 - Rio Grande, RS",Baixo,Monday,17,Não
2025-08-06,2025-08-07,IV Congresso Jurídico do Oeste Baiano. Advocacia do futuro: entre a tradição e a inovação.,Evento Corporativo,"Centro Universitário Unidompedro Afya - Barreiras, BA",Baixo,Wednesday,5,Não
2025-08-08,2025-08-08,Palestra com Telma Rocha.,Evento Corporativo,"OAB Subseção Santos - Santos, SP",Baixo,Friday,7,Não
2025-08-06,2025-08-07,Simpósio Nacional de Reprodução de Grandes Animais,Evento Corporativo,Evento Online,Baixo,Wednesday,5,Não
2025-09-25,2025-09-26,Imersão Legacy - Tanus e Arbex,Evento Corporativo,"Mater Dei Hospital Contorno - Centro de Convenções Dra. Norma Salvador - Belo Horizonte, MG",Baixo,Thursday,55,Sim
2025-09-18,2025-09-18,AGF DAY 2025,Evento Corporativo,"Av. Brigadeiro Luís Antônio, 4700 - São Paulo, SP",Baixo,Thursday,48,Sim
2025-08-19,2025-08-21,CONVENÇÃO SECOVI-SP 2025,Evento Corporativo,"Milenium Centro de Convenções - São Paulo, SP",Baixo,Tuesday,18,Sim
2025-08-16,2025-08-17,AGENTES ELETROFÍSICOS APLICADOS À REABILITAÇÃO MUSCULOESQUELÉTICA - São Paulo/SP Turma 2,Evento Corporativo,"GV Centro Educacional Latino Americano - São Paulo, SP",Baixo,Saturday,15,Não
2025-10-03,2025-10-04,2º Conecta Contábil Ascontal,Evento Corporativo,"Centro de Convenções de Arapiraca - Arapiraca, AL",Baixo,Friday,63,Não
2025-10-09,2025-10-09,8º Incorpora - Fórum Brasileiro das Incorporadoras 2025,Evento Corporativo,"Teatro B32 - São Paulo, SP",Baixo,Thursday,69,Sim
2025-08-16,2025-08-16,2ª Jornada de Ginecologia e Obstetrícia do HSJA,Evento Corporativo,"R. Cel. Luís Ferraz, 397 - Itaperuna, RJ",Baixo,Saturday,15,Não
2025-09-12,2025-09-12,Transforme Sua Realidade – Palestra com Monja Coen,Evento Corporativo,"BeFly Minascentro - Belo Horizonte, MG",Baixo,Friday,42,Não
2025-09-20,2025-09-20,2º Seminário GCET TAX - Os desafios do profissional de Tax com a implantação da Reforma Tributária,Evento Corporativo,"PUC Goiás - Câmpus V - Goiânia, GO",Baixo,Saturday,50,Não
2025-08-02,2025-08-02,CURSO PFISTER COM FOCO PARA O TRÂNSITO - ON-LINE,Evento Corporativo,Evento Online,Baixo,Saturday,1,Não
2025-12-10,2025-12-11,Product Camp 2025 - São Paulo | O próximo capítulo do mercado de Produtos Digitais começa aqui,Evento Corporativo,"Centro de Convenções Frei Caneca - São Paulo, SP",Baixo,Wednesday,131,Não
2025-08-05,2025-08-05,"I Seminário de Gestão, Controladoria Jurídica e Legal Operations da OAB/MG",Evento Corporativo,"Rua Albita, 250 - Cruzeiro - Belo Horizonte, MG",Baixo,Tuesday,4,Sim
2025-08-20,2025-08-21,Iº Congresso de Direito da OAB Vespasiano e FASEH,Evento Corporativo,"R. São Paulo, 958 - Vespasiano, MG",Baixo,Wednesday,19,Não
2025-10-01,2025-10-02,AD Summit 2025 | Administrativo de Loja,Evento Corporativo,"R. Prof. Pedro Viriato Parigot de Souza, 5300 - Curitiba, PR",Baixo,Wednesday,61,Não
2025-08-16,2025-08-17,"2º Seminário Capixaba da Mulher na Engenharia, Agronomia e Geociências",Evento Corporativo,"Vista Azul Hotel - Domingos Martins, ES",Baixo,Saturday,15,Não
2025-08-05,2025-08-08,"Psicologia em Movimento: Ciência, Ética e Intervenção",Evento Corporativo,"Univel Centro Universitário - Cascavel, PR",Baixo,Tuesday,4,Sim
2025-11-07,2025-11-30,CLAUDIA BRAGA - STUDY CLUB,Evento Corporativo,"ITC RJ - Instituto de Treinamento em Cadáveres - Rio de Janeiro, RJ",Baixo,Friday,98,Não
2025-08-23,2025-08-23,BXSEC 2025,Evento Corporativo,"Bourbon Convention Hotel Santos - Santos, SP",Baixo,Saturday,22,Não
2025-10-25,2025-10-26,AMAZON DETAIL WEEK 2025,Evento Corporativo,"Av. Constantino Nery, 5001 - Manaus, AM",Baixo,Saturday,85,Não
2025-08-19,2025-08-19,ExpoEcomm BH 2025,Evento Corporativo,"Expominas BH - Belo Horizonte, MG",Baixo,Tuesday,18,Sim
2025-09-26,2025-09-26,16° Fórum Liberdade e Democracia - Ver Além para Liderar,Evento Corporativo,"Sala Minas Gerais - Belo Horizonte, MG",Baixo,Friday,56,Não
2025-08-04,2025-08-08,Semana operação ENP,Evento Corporativo,"Galeria Avenida center - Feira de Santana, BA",Baixo,Monday,3,Não
2025-08-23,2025-08-23,Afya Summit,Evento Corporativo,"Auditório Ibirapuera - Oscar Niemeyer - São Paulo, SP",Baixo,Saturday,22,Não
2025-08-16,2025-08-16,2 anos do Botina e Salto | Encontro Presencial de Network de Mulheres na Indústria,Evento Corporativo,"local a definir - Vitória, ES",Baixo,Saturday,15,Não
2025-09-14,2025-09-14,Paralamas no Boulevard,Evento Corporativo,"Boulevard Hall - Parnamirim, RN",Baixo,Sunday,44,Não
2025-08-23,2025-08-23,LanpDay - Simpósio de Neuropsicologia,Evento Corporativo,"UNIVILLE - Universidade de Joinville - Joinville, SC",Baixo,Saturday,22,Não
2025-08-14,2025-08-14,PET CRECHE 2025,Evento Corporativo,"Distrito Anhembi - São Paulo, SP",Baixo,Thursday,13,Sim
2025-08-06,2025-08-07,I Congresso do Noroeste Paulista de Estudos Tributários,Evento Corporativo,"OAB de São José do Rio Preto - São José do Rio Preto, SP",Baixo,Wednesday,5,Não
2025-09-01,2025-09-15,Curso Avançado de Oncologia,Evento Corporativo,"Hospital Haroldo Juaçaba - Fortaleza, CE",Baixo,Monday,31,Não
2025-08-06,2025-08-07,8º Simpósio de Bovinocultura de Corte,Evento Corporativo,"Associação e Sindicato Rural de Bagé - Bagé, RS",Baixo,Wednesday,5,Não
2025-09-01,2025-09-03,I Congresso Internacional de Anatomia Aplicada à Saúde,Evento Corporativo,"Teatro Feluma - Belo Horizonte, MG",Baixo,Monday,31,Não
2025-10-31,2025-10-31,Jornada Multiprofissional em Terapia Intensiva,Evento Corporativo,"Salão de Atos - Universidade Feevale - Câmpus II - Novo Hamburgo, RS",Baixo,Friday,91,Não
2025-08-17,2025-08-17,SEMINÁRIO HÍBRIDO / GUARULHOS,Evento Corporativo,Evento Online,Baixo,Sunday,16,Não
2025-08-18,2025-08-19,1° Congresso de Odontologia e Saúde do Amazonas (COSA),Evento Corporativo,"Teatro Manauara - Manaus, AM",Baixo,Monday,17,Não
2025-11-05,2025-11-07,28º Congresso Internacional UNIDAS - Longevidade e a preparação para a saúde do futuro,Evento Corporativo,"Centro de Convenções Salvador - Salvador, BA",Baixo,Wednesday,96,Não
2025-08-20,2025-08-21,Expo Magalu 2025,Evento Corporativo,"Distrito Anhembi - São Paulo, SP",Baixo,Wednesday,19,Não
2025-08-29,2025-08-29,1º Congresso de Direito Médico e da Saúde de Jaú,Evento Corporativo,"OAB - 20ª Subseção Jaú - Jaú, SP",Baixo,Friday,28,Não
2025-08-29,2025-08-30,XXXIII Jornada de Cardiologia de Feira de Santana,Evento Corporativo,"Hotel ibis Feira de Santana - Feira de Santana, BA",Baixo,Friday,28,Não
2025-08-05,2025-08-05,RODADA DE NÉGOCIOS MULHERES EMPREENDEDORAS,Evento Corporativo,"ASSESA - ASSOCIAÇÃO DE EMPREGADOS DA SANEPAR - Pinhais, PR",Baixo,Tuesday,4,Sim
2025-10-02,2025-10-03,IV Congresso Paraibano de Direito Penal,Evento Corporativo,"GARDEN HOTEL - Campina Grande, PB",Baixo,Thursday,62,Sim
2025-08-12,2025-08-12,CONFRARIA DE EXECUTIVAS,Evento Corporativo,"Centro de Eventos AMRIGS - Porto Alegre, RS",Baixo,Tuesday,11,Sim
2025-11-26,2025-11-26,Summit CBF Academy 2025,Evento Corporativo,"Local a definir - São Paulo, SP",Baixo,Wednesday,117,Não
2025-09-25,2025-09-26,StaysUP! 2025,Evento Corporativo,"Av. Alm. Barroso, 81 - Rio de Janeiro, RJ",Baixo,Thursday,55,Sim
2025-08-23,2025-08-23,CLÍNICA PRÁTICA: GLÚTEOS 3D - OS SEGREDOS REVELADOS,Evento Corporativo,"Av. das Américas, 8585 - Rio de Janeiro, RJ",Baixo,Saturday,22,Não
2025-08-17,2025-08-17,SIMULADO PRESENCIAL - 17 de Agosto de 2025,Evento Corporativo,"Instituto Rodolfo Souza - Goiânia, GO",Baixo,Sunday,16,Não
2025-07-31,2025-07-31,Lançamento do NUIA (Núcleo de Inteligência Artificial) / Programa Empreender da ACIM,Evento Corporativo,"ACIM - Associação Comercial de Maringá - Maringá, PR",Baixo,Thursday,-1,Sim
2025-09-18,2025-09-20,EXPO FRANCHISING ABF RIO 2025,Evento Corporativo,"Riocentro - Rio de Janeiro, RJ",Baixo,Thursday,48,Sim
2025-08-11,2025-08-11,Masterclass - Levantamento de quantidades e orçamento no IFC,Evento Corporativo,Evento Online,Baixo,Monday,10,Não
2025-11-21,2025-11-22,XXIX Jornada da EBP-BA,Evento Corporativo,"Wish Hotel da Bahia - Salvador, BA",Baixo,Friday,112,Não
2025-08-02,2025-08-02,IV Encontro de Medicina Preventiva e Qualidade de Vida,Evento Corporativo,"Teatro FACISA - Campina Grande, PB",Baixo,Saturday,1,Não
2025-09-04,2025-09-06,Conferência Internacional CAU 2025,Evento Corporativo,"Centro de Eventos e Convenções Brasil 21 - Brasília, DF",Baixo,Thursday,34,Sim
2025-07-17,2025-08-28,"WORKSHOP FORENSE: CRIMES, MORTES E MISTÉRIOS",Evento Corporativo,Evento Online,Baixo,Thursday,-15,Sim
2025-09-06,2025-09-07,Festival piauí de Jornalismo,Evento Corporativo,"Cinemateca Brasileira - São Paulo, SP",Baixo,Saturday,36,Não
2025-08-11,2025-08-11,Workshop Gestão de Conteúdos para Redes Sociais e Tráfego Pago,Evento Corporativo,"Charlie Moinhos - Porto Alegre, RS",Baixo,Monday,10,Não
2025-08-22,2025-08-22,"M experience 2025 - Criatividade, design + IA e inovação",Evento Corporativo,"Village Praça de Eventos - Cambé, PR",Baixo,Friday,21,Não
2025-08-02,2025-08-02,1 Edição do Encontro Mulheres que Empreendem Revolucionam,Evento Corporativo,"Sebrae Recife - Recife, PE",Baixo,Saturday,1,Não
2025-09-13,2025-09-13,"Terceiro Seminário Regional de Educação Infantil: Caminhos do Ser Professor Inspirar, Valer e Trans",Evento Corporativo,"Sicredi Região da Produção - Sarandi, RS",Baixo,Saturday,43,Não
2025-11-29,2025-11-29,PERIMENOPAUSA 2025 | Simpósio SOBRAC - A transição menopáusica na prática,Evento Corporativo,"Centro de Convenções Frei Caneca - São Paulo, SP",Baixo,Saturday,120,Não
2025-09-12,2025-09-13,ANCCA Summit 2025,Evento Corporativo,"Villa Blue Tree - Espaço para Eventos - São Paulo, SP",Baixo,Friday,42,Não
2025-08-22,2025-08-22,I Simpósio de Cuidados Paliativos Pediátricos,Evento Corporativo,"INSTITUTO DE MEDICINA INTEGRAL PROFESSOR FERNANDO FIGUEIRA - IMIP - Recife, PE",Baixo,Friday,21,Não
2025-10-04,2025-10-04,CardioPapers Experience,Evento Corporativo,"R. Castro Verde, 266 - São Paulo, SP",Baixo,Saturday,64,Não
2025-08-07,2025-08-08,II Simpósio de Nutrição do Grupo Santa,Evento Corporativo,"SHLS 716 Bloco F - Brasília, DF",Baixo,Thursday,6,Sim
2025-08-16,2025-08-16,2° Simpósio TEA Pediatherapies - Entre a ciência e os desafios da intervenção,Evento Corporativo,"Faculdade Anhanguera - Jundiaí, SP",Baixo,Saturday,15,Não
2025-08-22,2025-08-22,"O BPC/LOAS, na prática administrativa, recursal e judicial",Evento Corporativo,"Espaço Maestro - São Paulo, SP",Baixo,Friday,21,Não
2025-08-14,2025-08-15,3º Congresso de Direito Empresarial do Distrito Federal,Evento Corporativo,"Complexo Brasil 21 - Brasília, DF",Baixo,Thursday,13,Sim
2025-08-07,2025-08-07,1° SIMPÓSIO DE DIREITO PENAL: QUESTÕES CONTEMPORÂNEAS DO DIREITO PENAL E PROCESSUAL PENAL BRASILEIRO,Evento Corporativo,"TEATRO DO SHOPPING DIFUSORA - Caruaru, PE",Baixo,Thursday,6,Sim
2025-10-25,2025-10-25,IV Jornada Gaúcha de Educação Infantil,Evento Corporativo,"Associação Médica do Rio Grande do Sul - AMRIGS - Porto Alegre, RS",Baixo,Saturday,85,Não
2025-09-13,2025-09-13,1º Congresso de Autismo e TDAH com Abordagem Integrativa,Evento Corporativo,"Av. Dep. Benedito Matarazzo, 9009 - São José dos Campos, SP",Baixo,Saturday,43,Não
2025-08-23,2025-08-23,Encontro Notarial Centro-Oeste,Evento Corporativo,"K Hotel - Goiânia, GO",Baixo,Saturday,22,Não
2025-10-24,2025-10-26,NeuroPE 2025,Evento Corporativo,"Av. República Árabe Unida, 251 - Recife, PE",Baixo,Friday,84,Não
2025-07-30,2025-08-09,PROGRAMAÇÃO ACADÊMICA JULHO-AGOSTO 2025,Evento Corporativo,"Escola Técnica de Turismo CIETH - Rio de Janeiro, RJ",Baixo,Wednesday,-2,Não
2025-08-09,2025-08-09,Seminário “Desvendando o segredo da infância uma abordagem Montessoriana”,Evento Corporativo,"Casa de Cultura Érico Verissimo - Capão da Canoa, RS",Baixo,Saturday,8,Não
2025-07-31,2025-07-31,"#Reactivando13 Automação, inteligência artificial e integração com WhatsApp.",Evento Corporativo,"HUB Goiás - Centro de Excelência em Empreendedorismo Inovador - Goiânia, GO",Baixo,Thursday,-1,Sim
2025-06-26,2025-08-29,VII Congresso de Direito Previdenciário – OAB/SBC,Evento Corporativo,"OAB - 39ª Subsecção de São Bernardo Campo - São Bernardo do Campo, SP",Baixo,Thursday,-36,Sim
2025-08-15,2025-08-16,III COPFITI - Congresso Paraense de Fisioterapia em Terapia Intensiva,Evento Corporativo,"Auditório do Hospital de clínicas Gaspar Vianna - FHCGV - Belém, PA",Baixo,Friday,14,Não
2025-09-27,2025-09-27,International Meeting: The future of type 1 Diabetes,Evento Corporativo,Evento Online,Baixo,Saturday,57,Não
2025-08-29,2025-08-29,2ª Conferência Jurídica do Sul Fluminense - 2025,Evento Corporativo,"Teatro Municipal Maestro Franklin - Volta Redonda, RJ",Baixo,Friday,28,Não
2025-11-22,2025-11-22,Big Data Brazil Experience 2025,Evento Corporativo,"Auditório Ruy Barbosa ( Teatro Mackenzie ) - São Paulo, SP",Baixo,Saturday,113,Não
2025-08-18,2025-08-19,CONGRESSO 20 ANOS IDiP,Evento Corporativo,"Auditório CNI - São Paulo, SP",Baixo,Monday,17,Não
2025-09-13,2025-09-13,I workshop jurídico do sertão em irecê,Evento Corporativo,"Fiesta Baiana Clube Hotel - Irecê, BA",Baixo,Saturday,43,Não
2025-08-16,2025-08-16,DevOpsDays Rio de Janeiro 2025,Evento Corporativo,"MHS Eventos - Rio de Janeiro, RJ",Baixo,Saturday,15,Não
2025-08-04,2025-08-04,HIGIENIZAÇÃO COM RHAYNER SILVA - HIGI.TOOLS,Evento Corporativo,"Av. Dona Ruyce Ferraz Alvim, 214 - Diadema, SP",Baixo,Monday,3,Não
2025-10-23,2025-10-25,COP International,Evento Corporativo,"São Paulo Expo - São Paulo, SP",Baixo,Thursday,83,Sim
2025-08-07,2025-08-07,INSS DIGITAL 2.0,Evento Corporativo,"OAB-Ordem dos Advogados do Brasil-Sec do MA - São Luís, MA",Baixo,Thursday,6,Sim
2025-08-16,2025-08-17,Ação Barco Sorriso 37,Evento Corporativo,"Rua Dr. Levy Buquera, 589 - Curitiba, PR",Baixo,Saturday,15,Não
2025-08-11,2025-08-13,SEMANA JURÍDICA 2025,Evento Corporativo,"UNAERP - Guarujá, SP",Baixo,Monday,10,Não
2025-08-16,2025-08-16,"Masterclass de Tech Writing | Tech Writing do Zero: escrita, produto e tecnologia",Evento Corporativo,Evento Online,Baixo,Saturday,15,Não
2025-09-03,2025-09-05,VI CONGRESSO BRASILEIRO DE DIREITO TRIBUTÁRIO E DIREITO FINANCEIRO,Evento Corporativo,"Universidade Estadual de Montes Claros - Unimontes - Montes Claros, MG",Baixo,Wednesday,33,Não
2025-08-21,2025-08-21,WEDPRO 2025 SP,Evento Corporativo,"Welucci Gardens - São Paulo, SP",Baixo,Thursday,20,Sim
2025-11-08,2025-11-08,YOU - ESTÉTICA & CIÊNCIA 2025,Evento Corporativo,"Plaza São Rafael Hotel - Porto Alegre, RS",Baixo,Saturday,99,Não
2025-08-01,2025-08-01,"MEGA CURSO COM O PROF OMAR CHAMON - APOS. ESP., PROFISSIONAIS DE SAÚDE, FRENTISTAS, RUÍDO E TESES",Evento Corporativo,"OAB JABAQUARA - São Paulo, SP",Baixo,Friday,0,Não
2025-08-17,2025-08-18,VCA Cakes 2025 | O Encontro Imperdível da Confeitaria no Sudoeste Baiano,Evento Corporativo,"Centro de Convenções Divaldo Franco - Vitória da Conquista, BA",Baixo,Sunday,16,Não
2025-09-03,2025-09-05,PGConf.Brasil 2025 - https://2025.pgconf.com.br/,Evento Corporativo,"BR-230, Km 14 - s n - Cabedelo, PB",Baixo,Wednesday,33,Não
2025-08-13,2025-08-15,PASSAPORTE - CONGRESSO PET VET 2025,Evento Corporativo,"Distrito Anhembi - São Paulo, SP",Baixo,Wednesday,12,Não
2025-08-06,2025-08-08,2a turma Formação de Síndicos Profissionais,Evento Corporativo,"Home Center Ferreira Costa João Pessoa - Cabedelo, PB",Baixo,Wednesday,5,Não
2025-08-05,2025-08-05,ARQUITETURA NA PONTA DA LÍNGUA,Evento Corporativo,"J. Roberto Móveis e Decorações - Ribeirão Preto - Ribeirão Preto, SP",Baixo,Tuesday,4,Sim
2025-07-08,2025-07-31,Grupo de Estudos SUS e SUAS,Evento Corporativo,Evento Online,Baixo,Tuesday,-24,Sim
2025-08-02,2025-08-02,Evento Share Talks 2025 - The Next 4 Prompts: O Futuro da Comunicação | São Paulo/SP,Evento Corporativo,"Auditório Escola Americana - São Paulo, SP",Baixo,Saturday,1,Não
2025-09-13,2025-09-13,IMPULSIONE - Evento de empreendedorismo feminino,Evento Corporativo,"Casa Tegra - São Paulo, SP",Baixo,Saturday,43,Não
2025-08-07,2025-08-08,Seminário Internacional: Resiliência das Edificações para a Saúde em Cenário de Mudanças Climáticas,Evento Corporativo,"Local a definir - Itaparica, BA",Baixo,Thursday,6,Sim
2025-08-07,2025-08-07,ROTA DO LEITE - AGROLEITE 2025 - CENTRO DE TREINAMENTO PARA PECUARISTAS - CTP,Evento Corporativo,"Local a definir - Castro, PR",Baixo,Thursday,6,Sim
2025-08-21,2025-08-22,XII Congresso Estadual de Direito Marítimo e Portuário X Workshop Temas Atuais de Direito Aduaneiro,Evento Corporativo,"Ordem dos Advogados do Brasil Subseção de Itajaí - Itajaí, SC",Baixo,Thursday,20,Sim
2025-08-15,2025-08-15,7° FEME - MULHERES DO NORTE AO SUL: Desbravando caminhos e impulsionando negócios,Evento Corporativo,"Parque de Exposições João Alencar de Athayde - Montes Claros, MG",Baixo,Friday,14,Não
2025-08-12,2025-08-12,PETLAND EXPERIENCE 2025,Evento Corporativo,"Holiday Inn Anhembi - São Paulo, SP",Baixo,Tuesday,11,Sim
2025-08-02,2025-08-02,Influência na Prática: do Planejamento à Mensuração,Evento Corporativo,Evento Online,Baixo,Saturday,1,Não
2025-08-27,2025-08-29,I SIMPÓSIO PARAIBANO DE CIÊNCIA ANIMAL DA FACULDADE REBOUÇAS,Evento Corporativo,"UFCG - Campus Campina Grande - Campina Grande, PB",Baixo,Wednesday,26,Não
2025-08-16,2025-08-16,HNWD Florianópolis 2025,Evento Corporativo,"Castelmar Hotel - Florianópolis, SC",Baixo,Saturday,15,Não
2025-08-28,2025-08-28,III Fórum Iluminação Pública Urbana 2025,Evento Corporativo,"Centro Brasileiro Britânico (CBB) - São Paulo, SP",Baixo,Thursday,27,Sim
2025-08-26,2025-08-26,Congresso Confeitar 2025 - Congresso Nacional de Confeitaria,Evento Corporativo,"Minascentro - Belo Horizonte, MG",Baixo,Tuesday,25,Sim
2025-11-08,2025-11-08,Porter Summit 2025,Evento Corporativo,"Arena Opus - São José, SC",Baixo,Saturday,99,Não
2025-08-09,2025-08-09,2º CONGRESSO DE NUTRIÇÃO,Evento Corporativo,"Sede Clube de Campo Beira Rio - Ituiutaba, MG",Baixo,Saturday,8,Não
2025-10-18,2025-10-19,CONGRESSO INN TEA 2025,Evento Corporativo,"Hotel Premium Campinas - Campinas, SP",Baixo,Saturday,78,Não
2025-08-05,2025-08-06,SIMPÓSIO LIGA DE TEA FCMSCSP,Evento Corporativo,"Rua Dona Veridiana, 55 - São Paulo, SP",Baixo,Tuesday,4,Sim
2025-08-15,2025-08-15,Super Ética,Evento Corporativo,"Ceisc São Paulo - São Paulo, SP",Baixo,Friday,14,Não
2025-09-27,2025-09-27,DevOpsDays Juiz de Fora 2025,Evento Corporativo,"UniAcademia - Juiz de Fora, MG",Baixo,Saturday,57,Não
2025-11-05,2025-11-08,Congresso Mundial de Fisioterapia Respiratória Global - RTA Mundi,Evento Corporativo,"Sapiens Parque S.A. - Florianópolis, SC",Baixo,Wednesday,96,Não
2025-08-29,2025-08-29,Digital Experience,Evento Corporativo,"Rua Juiz Achilles Velloso, 385 - Belo Horizonte, MG",Baixo,Friday,28,Não
2025-11-22,2025-11-23,6º Congresso Brasileiro de Nutrição Materno-Infantil,Evento Corporativo,Evento Online,Baixo,Saturday,113,Não
2025-08-23,2025-08-23,WORKSHOP NEUROBIOLOGIA DO AUTISMO EM GUAÍRA-PR,Evento Corporativo,"R. Carlos Gomes, 558 - Guaíra, PR",Baixo,Saturday,22,Não
2025-09-04,2025-09-04,O QUE EU FAÇO QUE DÁ CERTO SAÚDE 2025 9ª EDIÇÃO.,Evento Corporativo,"Ensino Einstein - Unidade Belo Horizonte - Belo Horizonte, MG",Baixo,Thursday,34,Sim
2025-08-21,2025-08-23,CIDEM 10 - Congresso Internacional de Desastres em Massa - O MAIOR DO PLANETA !!,Evento Corporativo,"Feira de Santana - Feira de Santana, BA",Baixo,Thursday,20,Sim
2025-08-23,2025-08-23,I Simpósio de Oncogeriatria da SBGG-MG,Evento Corporativo,"Renaissance Work Center - Belo Horizonte, MG",Baixo,Saturday,22,Não
2025-10-01,2025-10-03,XV CONGRESSO INTERNACIONAL DE DIREITO E PROCESSO DO TRABALHO,Evento Corporativo,"Sesc Pinheiros - São Paulo, SP",Baixo,Wednesday,61,Não
2025-09-18,2025-09-19,DP RESULTS 2025,Evento Corporativo,"TEATRO MARIA DILDA - UNIALFA - Goiânia, GO",Baixo,Thursday,48,Sim
